@relation 'allData-weka.filters.unsupervised.attribute.Remove-R1-3,7,9-23,25-28-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 4 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute Unemployment_rate_2015 numeric
@attribute Median_Household_Income_2015 numeric
@attribute poverty_rate numeric
@attribute college_rate numeric
@attribute crime_rate_per_100000 numeric
@attribute cluster {cluster1,cluster2,cluster3,cluster4}

@data
0.148649,0.318554,0.162304,0.538462,0.089186,cluster3
0.121622,0.315486,0.17801,0.681319,0.259136,cluster4
0.198198,0.125167,0.434555,0.31044,0.282353,cluster2
0.144144,0.268907,0.308901,0.521978,0.369773,cluster1
0.175676,0.215842,0.363874,0.593407,0.272565,cluster1
0.148649,0.327593,0.26178,0.475275,0.267109,cluster1
0.18018,0.225094,0.280105,0.590659,0.178031,cluster4
0.13964,0.239763,0.26178,0.557692,0.307295,cluster1
0.202703,0.205134,0.348168,0.46978,0.19437,cluster1
0.261261,0.09181,0.536649,0.450549,0.400592,cluster2
0.094595,0.47572,0.15445,0.524725,0.157046,cluster3
0.202703,0.223521,0.308901,0.571429,0.219844,cluster1
0.135135,0.353329,0.201571,0.67033,0.084868,cluster4
0.144144,0.320253,0.146597,0.502747,0.176803,cluster3
0.13964,0.334573,0.196335,0.60989,0.184928,cluster4
0.261261,0.30773,0.141361,0.535714,0.079231,cluster3
0.162162,0.140516,0.429319,0.412088,0.197777,cluster1
0.216216,0.157486,0.358639,0.458791,0.37598,cluster1
0.135135,0.176533,0.47644,0.480769,0.143786,cluster1
